"","DeployID","Ptt","DepthSensor","Source","Instr","Count","Start","End","What","Number","Shape","DepthMin","DepthMax","DurationMin","DurationMax","Shallow","Deep","start","end","t.diff","flag","divenum","depth","duration"
"111","Tt0022",110608,NA,"Transmission","Mk10",1,"9/7/16 14:18","9/7/16 20:55","Surface",NA,"",NA,NA,23790,23850,15368,8452,2016-09-07 10:18:00,2016-09-07 16:55:00,0,0,50,NA,23820
"112","Tt0022",110608,NA,"Transmission","Mk10",1,"9/7/16 20:55","9/7/16 21:08","Dive",1,"U",592,607.5,791,793,NA,NA,2016-09-07 16:55:00,2016-09-07 17:08:00,0,0,51,599.75,792
"113","Tt0022",110608,NA,"Transmission","Mk10",1,"9/7/16 21:08","9/7/16 21:18","Surface",NA,"",NA,NA,629,631,508,122,2016-09-07 17:08:00,2016-09-07 17:18:00,0,0,51,NA,630
"114","Tt0022",110608,NA,"Transmission","Mk10",1,"9/7/16 21:18","9/7/16 21:29","Dive",1,"U",608,623.5,657,659,NA,NA,2016-09-07 17:18:00,2016-09-07 17:29:00,0,0,52,615.75,658
"115","Tt0022",110608,NA,"Transmission","Mk10",1,"9/7/16 21:29","9/7/16 21:32","Surface",NA,"",NA,NA,185,187,132,54,2016-09-07 17:29:00,2016-09-07 17:32:00,0,0,52,NA,186
"116","Tt0022",110608,NA,"Transmission","Mk10",1,"9/7/16 21:32","9/7/16 21:34","Dive",1,"U",79,80.5,115,117,NA,NA,2016-09-07 17:32:00,2016-09-07 17:34:00,0,0,53,79.75,116
"117","Tt0022",110608,NA,"Transmission","Mk10",1,"9/7/16 21:34","9/7/16 21:36","Surface",NA,"",NA,NA,121,123,102,20,2016-09-07 17:34:00,2016-09-07 17:36:00,0,0,53,NA,122
"118","Tt0022",110608,NA,"Transmission","Mk10",1,"9/7/16 21:36","9/7/16 21:43","Dive",1,"U",142,145.5,405,407,NA,NA,2016-09-07 17:36:00,2016-09-07 17:43:00,0,0,54,143.75,406
"119","Tt0022",110608,NA,"Transmission","Mk10",1,"9/7/16 21:43","9/7/16 21:45","Surface",NA,"",NA,NA,111,113,108,4,2016-09-07 17:43:00,2016-09-07 17:45:00,0,0,54,NA,112
"120","Tt0022",110608,NA,"Transmission","Mk10",1,"9/7/16 21:45","9/7/16 21:52","Dive",1,"U",113,114.5,429,431,NA,NA,2016-09-07 17:45:00,2016-09-07 17:52:00,0,0,55,113.75,430
