,DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,What,Number,Shape,DepthMin,DepthMax,DurationMin,DurationMax,Shallow,Deep,start,end,t.diff,flag,divenum,depth,duration
96,Tt0019,110606,NA,Transmission,Mk10,1,9/3/2016 1:03,9/3/2016 1:11,Surface,NA,,NA,NA,455,457,250,206,9/2/2016 21:03,9/2/2016 21:11,0,0,41,NA,456
97,Tt0019,110606,NA,Transmission,Mk10,1,9/3/2016 1:11,9/3/2016 1:17,Dive,1,V,150,153.5,347,349,NA,NA,9/2/2016 21:11,9/2/2016 21:17,0,0,42,151.75,348
98,Tt0019,110606,NA,Transmission,Mk10,1,9/3/2016 1:17,9/3/2016 1:24,Surface,NA,,NA,NA,449,451,261,189,9/2/2016 21:17,9/2/2016 21:24,0,0,42,NA,450
100,Tt0019,110606,NA,Transmission,Mk10,1,9/3/2016 1:24,9/3/2016 1:31,Dive,1,U,268,275.5,455,457,NA,NA,9/2/2016 21:24,9/2/2016 21:31,0,0,43,271.75,456
101,Tt0019,110606,NA,Transmission,Mk10,1,9/3/2016 1:31,9/3/2016 1:35,Surface,NA,,NA,NA,225,227,124,102,9/2/2016 21:31,9/2/2016 21:35,0,0,43,NA,226
102,Tt0019,110606,NA,Transmission,Mk10,1,9/3/2016 1:35,9/3/2016 1:37,Dive,1,U,67,68.5,155,157,NA,NA,9/2/2016 21:35,9/2/2016 21:37,0,0,44,67.75,156
103,Tt0019,110606,NA,Transmission,Mk10,1,9/3/2016 1:37,9/3/2016 1:39,Surface,NA,,NA,NA,89,91,84,6,9/2/2016 21:37,9/2/2016 21:39,0,0,44,NA,90
104,Tt0019,110606,NA,Transmission,Mk10,1,9/3/2016 1:39,9/3/2016 1:43,Dive,1,U,85,86.5,215,217,NA,NA,9/2/2016 21:39,9/2/2016 21:43,0,0,45,85.75,216
105,Tt0019,110606,NA,Transmission,Mk10,1,9/3/2016 1:43,9/3/2016 1:44,Surface,NA,,NA,NA,79,81,77,3,9/2/2016 21:43,9/2/2016 21:44,0,0,45,NA,80
106,Tt0019,110606,NA,Transmission,Mk10,1,9/3/2016 1:44,9/3/2016 1:48,Dive,1,V,65,66.5,219,221,NA,NA,9/2/2016 21:44,9/2/2016 21:48,0,0,46,65.75,220
107,Tt0019,110606,NA,Transmission,Mk10,1,9/3/2016 1:48,9/3/2016 1:56,Surface,NA,,NA,NA,529,531,342,188,9/2/2016 21:48,9/2/2016 21:56,0,0,46,NA,530
108,Tt0019,110606,NA,Transmission,Mk10,1,9/3/2016 1:56,9/3/2016 1:59,Dive,1,U,59,60.5,159,161,NA,NA,9/2/2016 21:56,9/2/2016 21:59,0,0,47,59.75,160
109,Tt0019,110606,NA,Transmission,Mk10,1,9/3/2016 1:59,9/3/2016 2:02,Surface,NA,,NA,NA,177,179,172,6,9/2/2016 21:59,9/2/2016 22:02,0,0,47,NA,178
